128, 25.61, 53.65, 64.09, 99.21, 106.7, 76.3, 42.85, 51.63, 75.69,
150, 20.64, 46.50, 56.15, 88.90, 95.43, 67.90, 37.80, 45.50, 65.64,
175, 16.10, 40.08, 47.58, 77.88, 84.28, 58.70, 32.63, 38.38, 55.68,
200, 12.75, 34.35, 40.55, 67.65, 74.38, 50.50, 28.40, 32.65, 48.05,
250, 8.33, 24.95, 29.75, 50.85, 56.72, 37.70, 21.60, 23.80, 36.00,
300, 5.53, 18.68, 22.48, 38.38, 43.00, 28.75, 16.60, 17.43, 27.80,
350, 4.09, 14.23, 17.28, 29.83, 32.82, 22.25, 13.13, 12.91, 21.45,
400, 3.73, 10.90, 13.55, 23.15, 25.40, 17.10, 10.55, 9.80, 16.30,
450, 3.95, 8.65, 10.82, 17.80, 19.40, 13.45, 9.00, 7.97, 12.50,
500, 4.90, 7.45, 8.85, 13.60, 14.66, 11.00, 8.13, 7.07, 9.60,
550, 6.57, 7.12, 8.30, 11.20, 11.93, 9.70, 7.89, 7.02, 8.55,
600, 8.65, 7.55, 8.50, 10.45, 10.80, 9.60, 8.40, 7.72, 8.47,
650, 10.95, 8.70, 9.50, 10.75, 10.75, 10.23, 9.57, 9.00, 9.05,
700, 13.56, 10.45, 11.25, 12.00, 11.65, 11.75, 11.40, 11.00, 10.38,
800, 19.35, 15.45, 15.82, 16.20, 15.20, 15.95, 16.25, 16.25, 14.45,
900, 25.62, 21.07, 21.13, 21.17, 19.80, 21.17, 21.97, 21.97, 19.56,
1000, 32.00, 26.95, 26.82, 26.42, 25.22, 26.42, 28.00, 27.92, 25.07,
1100, 38.35, 33.05, 32.82, 32.10, 31.06, 32.10, 34.00, 34.00, 30.82,
1200, 44.35, 38.75, 38.50, 37.55, 36.70, 37.55, 39.80, 39.92, 36.40,
1300, 49.90, 44.15, 43.80, 42.70, 42.05, 42.70, 45.18, 45.25, 41.78,
1400, 54.70, 48.90, 48.30, 47.35, 46.69, 47.35, 49.90, 49.85, 46.50,
